,title,subtitle,link
0,Kanpur outfield earns 'unsatisfactory' rating and demerit point,"The Chennai pitch on which India played their first Test against Bangladesh was rated ""very good""",https://www.espncricinfo.com/story/ind-vs-ban-2nd-test-kanpur-outfield-earns-unsatisfactory-rating-and-demerit-point-from-icc-1458787
1,"Suryakumar: 'If Test comeback has to happen, it will happen'","""I am playing all the domestic tournaments, be it red-ball or white-ball. I don't miss any game,"" he said",https://www.espncricinfo.com/story/sa-vs-ind-1st-t20i-suryakumar-yadav-if-test-comeback-has-to-happen-it-will-happen-1458780
2,"A rematch of T20 World Cup final, with some fresh faces","Many protagonists of that final will not be in action in this series, but can South Africa hit back at home?",https://www.espncricinfo.com/series/india-in-south-africa-2024-25-1449299/south-africa-vs-india-1st-t20i-1449301/match-preview
3,Marcus Trescothick: Domestic structure is 'not helping' England's ODI standards,Interim coach says finding more opportunities for 50-over cricket is isn't easy within current structure,https://www.espncricinfo.com/story/wi-vs-eng-2024-marcus-trescothick-domestic-structure-is-not-helping-england-s-odi-standards-1458761
4,Injured Mushfiqur out of Afghanistan ODIs with finger fracture,It is not yet clear if he will be available for the West Indies tour that starts later this month,https://www.espncricinfo.com/story/afg-vs-ban-injured-mushfiqur-out-of-afghanistan-odis-with-finger-fracture-1458757
5,"Rana, Poonam, Knight, Tahuhu released ahead of WPL 2025 auction","The teams will have an additional INR 1.5 crore for the auction, which is expected in early December",https://www.espncricinfo.com/story/wpl-2025-sneh-rana-poonam-yadav-lea-tahuhu-released-ahead-of-december-auction-1458663
6,Multan and Rawalpindi pitches get 'satisfactory' rating for all three Pakistan-England Tests,"The series, which Pakistan won 2-1, drew widespread attention for the pitches that were prepared",https://www.espncricinfo.com/story/pak-vs-eng-test-series-multan-and-rawalpindi-pitches-get-satisfactory-rating-for-all-three-tests-1458754
7,"King, Ainsworth combine in Scorchers' thrilling win; Knight-Bates pair maintain Thunder's strong start","The Thunder posted a comfortable victory over the Heat, but the evening game between Scorchers and Renegades went down to the final ball",https://www.espncricinfo.com/series/women-s-big-bash-league-2024-25-1442625/perth-scorchers-women-vs-melbourne-renegades-women-17th-match-1442662/match-report
8,Improved batting on the list for Australia and Pakistan after quicks leave early mark,Josh Hazlewood will return for the home side while Pakistan need victory to take the series to a decider,https://www.espncricinfo.com/series/australia-vs-pakistan-2024-25-1426544/australia-vs-pakistan-2nd-odi-1426550/match-preview
9,Sammy calls Joseph's behaviour to leave the ground 'unacceptable' during third ODI,Joseph left the field a couple of times during the game after he was visibly unhappy about some things,https://www.espncricinfo.com/story/wi-vs-eng-daren-sammy-calls-alzarri-joseph-s-behaviour-to-leave-the-ground-unacceptable-1458729
10,Neser out of Australia A game with hamstring injury,The Queensland quick wasn't expected to be in the Perth Test squad but could be needed during the series,https://www.espncricinfo.com/story/michael-neser-out-of-australia-a-game-with-hamstring-injury-1458718
11,Rahul and McSweeney miss out as bowlers dominate at the MCG,Dhruv Jurel played superbly to make 80 in tricky conditions then the India A quicks made life tough with the new ball,https://www.espncricinfo.com/series/india-a-in-australia-2024-25-1455327/australia-a-vs-india-a-2nd-unofficial-test-1455331/match-report-1
12,"Keacy Carty, Brandon King hundreds seal series for West Indies",Hosts cruise in chase after England had scrapped a score from the depths of 24 for 4,https://www.espncricinfo.com/series/west-indies-vs-england-2024-25-1433354/west-indies-vs-england-3rd-odi-1433372/match-report
13,Saha: 'Ganguly pushed me to play and finish with Bengal',Wicketkeeper says he had originally planned to retire before the start of this season,https://www.espncricinfo.com/story/ranji-trophy-2024-25-wriddhiman-saha-sourav-ganguly-pushed-me-to-play-and-finish-with-bengal-1458664
14,Rahul likely to open alongside Abhimanyu as India ponder Perth combination,"Dhruv Jurel, meanwhile, is likely to take the keeping gloves from Ishan Kishan",https://www.espncricinfo.com/story/aus-a-vs-ind-a-2nd-unofficial-test-kl-rahul-abhimanyu-easwaran-likely-to-open-for-india-a-1458616
15,Perry continues fine form as Sixers edge out Hurricanes,Caoimhe Bray and Sophie Ecclestone play important roles with the ball,https://www.espncricinfo.com/series/women-s-big-bash-league-2024-25-1442625/hobart-hurricanes-women-vs-sydney-sixers-women-15th-match-1442660/match-report
16,Bangladesh lose 8 for 23 as Ghazanfar spins Afghanistan to victory,Nabi and Shahidi hit half-centuries before Ghazanfar returned career best figures of 6 for 26 to stun Bangladesh,https://www.espncricinfo.com/series/afghanistan-v-bangladesh-2024-25-1453068/afghanistan-vs-bangladesh-1st-odi-1453070/match-report
17,"Kusal Perera, Mohamed Shiraz return for New Zealand ODIs",Chamindu Wickramasinghe has retained his place in both ODI and T20I squads,https://www.espncricinfo.com/story/sri-lanka-news-kusal-perera-mohamed-shiraz-return-for-new-zealand-odis-1458591
18,"Harvey, Drew tons, Johnson haul spark SA to bonus point win over Victoria",Peter Handscomb struck a century but the total was comfortably hauled in by the home side,https://www.espncricinfo.com/series/one-day-cup-aus-2024-25-1444469/south-australia-vs-victoria-11th-match-1444480/match-report
19,'Squashed': Warner calls for CA to explain India A ball change,He suggested the looming five-Test series played a part in the issue quickly being put to bed,https://www.espncricinfo.com/story/david-warner-calls-for-cricket-australia-to-explain-india-a-ball-change-1458569
